" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"37077 CAMPO DE PEÑARANDA (EL)",           2,
,"37081 CANTALAPIEDRA",           1,
,"37082 CANTALPINO",           3,
,"37083 CANTARACILLO",           1,
,"37085 CARBAJOSA DE LA SAGRADA",           3,
,"37087 CARRASCAL DE BARREGAS",           7,
,"37092 CASTELLANOS DE MORISCOS",           6,
,"37106 CIPEREZ",           2,
,"37107 CIUDAD RODRIGO",          49,
,"37110 CORDOVILLA",           2,
,"37121 ENCINAS DE ABAJO",           7,
,"37128 ESPINO DE LA ORBADA",           1,
,"37129 FLORIDA DE LIEBANA",           2,
,"37133 FRESNEDOSO",           1,
,"37134 FRESNO ALHANDIGA",           1,
,"37135 FUENTE DE SAN ESTEBAN (LA)",           1,
,"37140 FUENTES DE OÑORO",           2,
,"37144 GALISANCHO",           1,
,"37147 GARCIBUEY",           1,
,"37148 GARCIHERNANDEZ",           1,
,"37152 GOMECELLO",           2,
,"37156 GUIJUELO",           5,
,"37166 ITUERO DE AZABA",           1,
,"37170 LEDESMA",           3,
,"37173 LUMBRALES",           7,
,"37174 MACOTERA",           5,
,"37175 MACHACON",           2,
,"37177 MAILLO (EL)",           1,
,"37181 MARTIAGO",           2,
,"37185 CASTELLANOS DE VILLIQUERA",           2,
,"37188 MAYA (LA)",           1,
,"37194 MOGARRAZ",           2,
,"37204 MORASVERDES",           1,
,"37228 PALACIOSRUBIOS",           1,
,"37229 PALENCIA DE NEGRILLA",           1,
,"37236 PEDROSILLO DE ALBA",           1,
,"37237 PEDROSILLO DE LOS AIRES",           2,
,"37239 PEDROSO DE LA ARMUÑA (EL)",           3,
,"37240 PELABRAVO",           2,
,"37245 PEÑAPARDA",           2,
,"37246 PEÑARANDA DE BRACAMONTE",          30,
,"37251 PEROMINGO",           2,
,"37254 PITIEGUA",           1,
,"37255 PIZARRAL",           1,
,"37256 POVEDA DE LAS CINTAS",           4,
,"37258 PUEBLA DE AZABA",           1,
,"37263 PUERTO DE BEJAR",           1,
,"37274 SALAMANCA",         214,
,"37283 SANDO",           1,
,"37287 SAN MIGUEL DE VALERO",           1,
,"37289 SAN MUÑOZ",           1,
,"37290 SAN PEDRO DEL VALLE",           2,
,"37294 SANTA MARTA DE TORMES",          21,
,"37297 SANTIBAÑEZ DE BEJAR",           3,
,"37299 SANTIZ",           2,
,"37300 SANTOS (LOS)",           1,
,"37312 SORIHUELA",           1,
,"37315 TALA (LA)",           1,
,"37316 TAMAMES",           3,
