" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"40161 CARABIAS",           8,
,"40162 PRADENA",           5,
,"40163 PUEBLA DE PEDRAZA",           1,
,"40164 RAPARIEGOS",           3,
,"40170 RIAZA",           7,
,"40173 RODA DE ERESMA",           1,
,"40174 SACRAMENIA",           3,
,"40176 SAMBOAL",           6,
,"40179 SANCHONUÑO",          39,
,"40181 REAL SITIO DE SAN ILDEFONSO",          43,
,"40182 SAN MARTIN Y MUDRIAN",          18,
,"40183 SAN MIGUEL DE BERNUY",          20,
,"40184 SAN PEDRO DE GAILLOS",           6,
,"40185 SANTA MARIA LA REAL DE NIEVA",          19,
,"40189 SANTIUSTE DE SAN JUAN BAUTISTA",           7,
,"40193 SEBULCOR",          14,
,"40194 SEGOVIA",         153,
,"40195 SEPULVEDA",          41,
,"40200 TABANERA LA LUENGA",           4,
,"40203 TORRECABALLEROS",           6,
,"40207 TRESCASAS",          14,
,"40208 TUREGANO",          25,
,"40210 URUEÑAS",           1,
,"40214 VALSECA",           1,
,"40216 VALVERDE DEL MAJANO",          69,
,"40218 VALLE DE TABLADILLO",           2,
,"40219 VALLELADO",           6,
,"40220 VALLERUELA DE PEDRAZA",           6,
,"40225 VILLACASTIN",          39,
,"40228 VILLAVERDE DE ISCAR",           8,
,"40231 YANGUAS DE ERESMA",           1,
,"40233 ZARZUELA DEL MONTE",           2,
,"40234 ZARZUELA DEL PINAR",           1,
,"40901 ORTIGOSA DEL MONTE",           6,
,"40902 COZUELOS DE FUENTIDUEÑA",           1,
,"40903 MARAZOLEJA",           2,
,"40906 SAN CRISTOBAL DE SEGOVIA",           1,
,"42001 ABEJAR",           1,
,"42004 AGREDA",          40,
,"42007 ALCUBILLA DE AVELLANEDA",           1,
,"42008 ALCUBILLA DE LAS PEÑAS",           2,
,"42018 ALMALUEZ",           2,
,"42019 ALMARZA",           1,
,"42020 ALMAZAN",          80,
,"42022 ALMENAR DE SORIA",           4,
,"42025 ARCOS DE JALON",           1,
,"42027 AREVALO DE LA SIERRA",           1,
,"42035 BERLANGA DE DUERO",           2,
,"42042 BUITRAGO",           3,
,"42043 BURGO DE OSMA-CIUDAD DE OSMA",          31,
,"42045 CABREJAS DEL PINAR",           5,
,"42057 CASTILRUIZ",          10,
,"42058 CASTILLEJO DE ROBLEDO",           1,
,"42063 CIHUELA",           1,
,"42068 COSCURITA",           2,
,"42069 COVALEDA",          32,
,"42076 DEZA",           1,
,"42078 DURUELO DE LA SIERRA",          15,
,"42080 ESPEJA DE SAN MARCELINO",           2,
,"42081 ESPEJON",           1,
,"42094 GARRAY",           2,
,"42095 GOLMAYO",          90,
,"42096 GOMARA",           1,
,"42103 LANGA DE DUERO",           4,
,"42107 MAGAÑA",           1,
,"42110 MATALEBRERAS",           2,
,"42111 MATAMALA DE ALMAZAN",           3,
,"42113 MEDINACELI",          24,
,"42117 MOLINOS DE DUERO",           2,
,"42120 MONTEJO DE TIERMES",           1,
,"42128 NARROS",           6,
,"42129 NAVALENO",          65,
,"42130 NEPAS",           1,
,"42132 NOVIERCAS",           6,
,"42134 OLVEGA",         378,
,"42135 ONCALA",           1,
,"42149 RABANOS (LOS)",           2,
,"42154 RENIEBLAS",           1,
,"42160 ROYO (EL)",           2,
,"42162 SAN ESTEBAN DE GORMAZ",          17,
,"42163 SAN FELICES",           1,
,"42164 SAN LEONARDO DE YAGÜE",          17,
,"42171 SERON DE NAGIMA",           5,
,"42173 SORIA",         205,
,"42181 TARDELCUENDE",           2,
,"42197 VALDERRODILLA",           2,
,"42215 VINUESA",           5,
,"47004 ALAEJOS",          15,
,"47005 ALCAZAREN",          31,
,"47007 ALDEAMAYOR DE SAN MARTIN",          63,
,"47009 AMUSQUILLO",           1,
,"47010 ARROYO DE LA ENCOMIENDA",          58,
,"47011 ATAQUINES",          30,
,"47012 BAHABON",           1,
,"47014 BARRUELO DEL VALLE",           1,
,"47015 BECILLA DE VALDERADUEY",           4,
,"47017 BERCERO",           2,
,"47020 BOBADILLA DEL CAMPO",          15,
,"47023 BOECILLO",          25,
,"47025 BRAHOJOS DE MEDINA",           1,
,"47026 BUSTILLO DE CHAVES",           1,
,"47027 CABEZON DE PISUERGA",          26,
,"47028 CABEZON DE VALDERADUEY",           2,
,"47030 CAMPASPERO",          13,
,"47031 CAMPILLO (EL)",           2,
,"47032 CAMPORREDONDO",           1,
,"47033 CANALEJAS DE PEÑAFIEL",           1,
,"47035 CARPIO",          17,
,"47036 CASASOLA DE ARION",           2,
,"47037 CASTREJON DE TRABANCOS",           2,
,"47038 CASTRILLO DE DUERO",           2,
,"47039 CASTRILLO-TEJERIEGO",           4,
,"47044 CASTRONUEVO DE ESGUEVA",           1,
,"47045 CASTRONUÑO",           5,
,"47046 CASTROPONCE",           1,
,"47047 CASTROVERDE DE CERRATO",           3,
,"47049 CERVILLEGO DE LA CRUZ",           3,
,"47050 CIGALES",           9,
,"47051 CIGUÑUELA",           9,
,"47052 CISTERNIGA",         207,
,"47053 COGECES DE ISCAR",           1,
,"47054 COGECES DEL MONTE",          15,
,"47055 CORCOS",           4,
,"47057 CUBILLAS DE SANTA MARTA",          12,
,"47058 CUENCA DE CAMPOS",           7,
,"47060 ENCINAS DE ESGUEVA",           1,
,"47061 ESGUEVILLAS DE ESGUEVA",           4,
,"47065 FRESNO EL VIEJO",           9,
,"47066 FUENSALDAÑA",          64,
,"47067 FUENTE EL SOL",           7,
,"47070 GATON DE CAMPOS",           1,
,"47071 GERIA",           5,
,"47073 HERRIN DE CAMPOS",           3,
,"47074 HORNILLOS DE ERESMA",           2,
,"47075 ISCAR",          63,
,"47076 LAGUNA DE DUERO",          83,
,"47081 MARZALES",           4,
,"47082 MATAPOZUELOS",          11,
,"47083 MATILLA DE LOS CAÑOS",           1,
,"47084 MAYORGA",           7,
,"47085 MEDINA DEL CAMPO",         103,
,"47086 MEDINA DE RIOSECO",          66,
,"47087 MEGECES",           1,
,"47089 MELGAR DE ARRIBA",           1,
,"47090 MOJADOS",          76,
,"47092 MONTEALEGRE DE CAMPOS",           1,
,"47093 MONTEMAYOR DE PILILLA",           3,
,"47095 MORALEJA DE LAS PANADERAS",           3,
,"47097 MOTA DEL MARQUES",           1,
,"47100 MURIEL",           1,
,"47101 NAVA DEL REY",           2,
,"47103 OLIVARES DE DUERO",           1,
,"47104 OLMEDO",          34,
,"47109 PALAZUELO DE VEDIJA",           3,
,"47110 PARRILLA (LA)",           1,
,"47111 PEDRAJA DE PORTILLO (LA)",          21,
,"47112 PEDRAJAS DE SAN ESTEBAN",          29,
,"47113 PEDROSA DEL REY",          17,
,"47114 PEÑAFIEL",          50,
,"47115 PEÑAFLOR DE HORNIJA",           5,
,"47116 PESQUERA DE DUERO",           4,
,"47117 PIÑA DE ESGUEVA",          22,
,"47121 POLLOS",           2,
,"47122 PORTILLO",          33,
,"47123 POZAL DE GALLINAS",          14,
,"47124 POZALDEZ",           1,
,"47127 QUINTANILLA DE ARRIBA",           2,
,"47129 QUINTANILLA DE ONESIMO",          66,
,"47132 RAMIRO",           3,
,"47133 RENEDO DE ESGUEVA",          13,
,"47134 ROALES DE CAMPOS",           3,
,"47138 RUBI DE BRACAMONTE",           3,
,"47139 RUEDA",           7,
,"47140 SAELICES DE MAYORGA",           2,
,"47141 SALVADOR DE ZAPARDIEL",          19,
,"47142 SAN CEBRIAN DE MAZOTE",           1,
,"47144 SAN MARTIN DE VALVENI",          46,
,"47145 SAN MIGUEL DEL ARROYO",           5,
,"47146 SAN MIGUEL DEL PINO",           3,
,"47148 SAN PEDRO DE LATARCE",           5,
,"47150 SAN ROMAN DE HORNIJA",           1,
,"47154 SANTIBAÑEZ DE VALCORBA",           2,
,"47155 SANTOVENIA DE PISUERGA",          85,
,"47158 SECA (LA)",           2,
,"47159 SERRADA",           6,
,"47160 SIETE IGLESIAS DE TRABANCOS",           4,
,"47161 SIMANCAS",           5,
,"47163 TIEDRA",           7,
,"47164 TORDEHUMOS",           2,
,"47165 TORDESILLAS",          61,
,"47171 TORRELOBATON",           2,
,"47172 TORRESCARCELA",           1,
,"47174 TRIGUEROS DEL VALLE",           1,
,"47175 TUDELA DE DUERO",          37,
,"47178 URUEÑA",           2,
,"47179 VALBUENA DE DUERO",           6,
,"47182 VALDESTILLAS",          14,
,"47183 VALDUNQUILLO",           1,
,"47184 VALORIA LA BUENA",           1,
,"47186 VALLADOLID",        1208,
,"47187 VEGA DE RUIPONCE",           1,
,"47188 VEGA DE VALDETRONCO",           1,
,"47190 VELILLA",           1,
,"47191 VELLIZA",           3,
,"47192 VENTOSA DE LA CUESTA",           3,
,"47193 VIANA DE CEGA",           3,
,"47194 VILORIA",           4,
,"47197 VILLABRAGIMA",           9,
,"47198 VILLACARRALON",           3,
,"47199 VILLACID DE CAMPOS",           1,
,"47200 VILLACO",           3,
,"47204 VILLAFRANCA DE DUERO",           4,
,"47206 VILLAFUERTE",           1,
,"47208 VILLAGOMEZ LA NUEVA",           2,
,"47210 VILLALAR DE LOS COMUNEROS",           4,
,"47212 VILLALBA DE LOS ALCORES",           2,
,"47213 VILLALBARBA",           2,
,"47214 VILLALON DE CAMPOS",          11,
,"47217 VILLANUBLA",          22,
,"47218 VILLANUEVA DE DUERO",           3,
,"47220 VILLANUEVA DE LOS CABALLEROS",           1,
,"47222 VILLANUEVA DE SAN MANCIO",           1,
,"47223 VILLARDEFRADES",           5,
,"47225 VILLASEXMIR",           3,
,"47227 VILLAVELLID",           1,
,"47228 VILLAVERDE DE MEDINA",           1,
,"47231 ZARATAN",          58,
,"47232 ZARZA (LA)",           4,
,"49003 ALCAÑICES",          12,
,"49008 ALMEIDA DE SAYAGO",           1,
,"49014 ARQUILLINOS",           2,
,"49015 ARRABALDE",           2,
,"49018 AYOO DE VIDRIALES",           2,
,"49020 BELVER DE LOS MONTES",           1,
,"49021 BENAVENTE",         168,
,"49023 BERMILLO DE SAYAGO",          12,
,"49024 BOVEDA DE TORO (LA)",          28,
,"49029 BURGANES DE VALVERDE",           2,
,"49033 CAMARZANA DE TERA",           4,
,"49034 CAÑIZAL",           7,
,"49041 CASTROGONZALO",          42,
,"49042 CASTRONUEVO",          13,
,"49046 CERECINOS DE CAMPOS",          14,
,"49047 CERECINOS DEL CARRIZAL",           1,
,"49048 CERNADILLA",           1,
,"49050 COBREROS",           6,
,"49052 COOMONTE",           6,
,"49053 CORESES",          74,
,"49054 CORRALES DEL VINO",          14,
,"49058 CUBO DE TIERRA DEL VINO (EL)",           1,
,"49063 FARAMONTANOS DE TABARA",           2,
,"49064 FARIZA",           1,
,"49065 FERMOSELLE",           1,
,"49066 FERRERAS DE ABAJO",           5,
,"49067 FERRERAS DE ARRIBA",           1,
,"49068 FERRERUELA",           2,
,"49071 FONFRIA",           1,
,"49075 FRESNO DE LA POLVOROSA",           3,
,"49076 FRESNO DE LA RIBERA",           4,
,"49079 FUENTE ENCALADA",           5,
,"49080 FUENTELAPEÑA",           9,
,"49081 FUENTESAUCO",          15,
,"49082 FUENTES DE ROPEL",           2,
,"49084 FUENTESPREADAS",           7,
,"49085 GALENDE",           2,
,"49086 GALLEGOS DEL PAN",           1,
,"49091 GRANJA DE MORERUELA",           1,
,"49093 GUARRATE",           3,
,"49095 HINIESTA (LA)",           3,
,"49100 LUBIAN",           3,
,"49101 LUELMO",           1,
,"49102 MADERAL (EL)",           3,
,"49103 MADRIDANOS",           1,
,"49104 MAHIDE",           1,
,"49105 MAIRE DE CASTROPONCE",           1,
,"49108 MANGANESES DE LA LAMPREANA",           2,
,"49109 MANGANESES DE LA POLVOROSA",           5,
,"49113 MATILLA DE ARZON",           2,
,"49116 MELGAR DE TERA",           5,
,"49117 MICERECES DE TERA",           1,
,"49118 MILLES DE LA POLVOROSA",           1,
,"49121 MOMBUEY",           1,
,"49122 MONFARRACINOS",           2,
,"49123 MONTAMARTA",           9,
,"49125 MORALEJA DEL VINO",          12,
,"49127 MORALES DEL VINO",          18,
,"49128 MORALES DE REY",           3,
,"49129 MORALES DE TORO",          11,
,"49130 MORALES DE VALVERDE",           1,
,"49135 MUELAS DEL PAN",           3,
,"49137 NAVIANOS DE VALVERDE",          10,
,"49142 PALACIOS DEL PAN",           1,
,"49146 PEGO (EL)",           1,
,"49148 PELEAS DE ABAJO",           2,
,"49149 PEÑAUSENDE",           2,
,"49150 PEQUE",           1,
,"49151 PERDIGON (EL)",           6,
,"49156 PINILLA DE TORO",           1,
,"49158 PIÑERO (EL)",           4,
,"49159 POBLADURA DEL VALLE",          26,
,"49163 POZOANTIGUO",           1,
,"49166 PUEBLA DE SANABRIA",          12,
,"49167 PUEBLICA DE VALVERDE",           3,
,"49171 QUIRUELAS DE VIDRIALES",           1,
,"49172 RABANALES",           3,
,"49173 RABANO DE ALISTE",           1,
,"49174 REQUEJO",           5,
,"49175 REVELLINOS",           1,
,"49176 RIOFRIO DE ALISTE",           5,
,"49178 ROALES",           9,
,"49181 ROSINOS DE LA REQUEJADA",           5,
,"49185 SAN AGUSTIN DEL POZO",           4,
,"49186 SAN CEBRIAN DE CASTRO",           1,
,"49187 SAN CRISTOBAL DE ENTREVIÑAS",          32,
,"49188 SAN ESTEBAN DEL MOLAR",           3,
,"49191 SAN MIGUEL DE LA RIBERA",           3,
,"49192 SAN MIGUEL DEL VALLE",           1,
,"49193 SAN PEDRO DE CEQUE",           1,
,"49197 SANTA CLARA DE AVEDILLO",           1,
,"49199 SANTA COLOMBA DE LAS MONJAS",           1,
,"49200 SANTA CRISTINA DE LA POLVOROSA",           7,
,"49201 SANTA CROYA DE TERA",           3,
,"49203 SANTA MARIA DE LA VEGA",           3,
,"49205 SANTIBAÑEZ DE TERA",           5,
,"49206 SANTIBAÑEZ DE VIDRIALES",           7,
,"49207 SANTOVENIA",           2,
,"49208 SAN VICENTE DE LA CABEZA",           2,
,"49209 SAN VITERO",           2,
,"49214 TABARA",           1,
,"49219 TORO",         120,
,"49220 TORRE DEL VALLE (LA)",           1,
,"49221 TORREGAMONES",           1,
,"49222 TORRES DEL CARRIZAL",           3,
,"49223 TRABAZOS",           1,
,"49224 TREFACIO",           2,
,"49227 VALCABADO",           1,
,"49234 VENIALBO",           7,
,"49235 VEZDEMARBAN",          11,
,"49238 VILLABRAZARO",           2,
,"49239 VILLABUENA DEL PUENTE",          14,
,"49242 VILLAFAFILA",           2,
,"49245 VILLALAZAN",          12,
,"49247 VILLALCAMPO",           1,
,"49250 VILLALPANDO",           4,
,"49252 VILLAMAYOR DE CAMPOS",           1,
,"49255 VILLAMOR DE LOS ESCUDEROS",           6,
,"49256 VILLANAZAR",           1,
,"49257 VILLANUEVA DE AZOAGUE",           4,
,"49260 VILLANUEVA DEL CAMPO",           1,
,"49261 VILLARALBO",          12,
,"49262 VILLARDECIERVOS",           2,
,"49267 VILLARDONDIEGO",           3,
,"49268 VILLARRIN DE CAMPOS",           1,
,"49270 VILLAVENDIMIO",           1,
,"49271 VILLAVEZA DEL AGUA",           1,
,"49275 ZAMORA",         172,
,"TOTAL",       16807,
"2019","05001 ADANERO",           5,
,"05002 ADRADA (LA)",           2,
,"05007 ALDEANUEVA DE SANTA CRUZ",           1,
,"05013 ARENAL (EL)",           3,
,"05014 ARENAS DE SAN PEDRO",          16,
,"05016 AREVALO",         178,
,"05017 AVEINTE",           3,
,"05019 AVILA",         187,
,"05021 BARCO DE AVILA (EL)",          10,
,"05022 BARRACO (EL)",           5,
,"05023 BARROMAN",           7,
,"05026 BERCIAL DE ZAPARDIEL",           6,
,"05027 BERLANAS (LAS)",          10,
,"05036 BOHODON (EL)",           1,
,"05038 BONILLA DE LA SIERRA",           1,
,"05041 BURGOHONDO",           3,
,"05042 CABEZAS DE ALAMBRE",           3,
,"05043 CABEZAS DEL POZO",           1,
,"05044 CABEZAS DEL VILLAR",           3,
,"05045 CABIZUELA",           2,
,"05046 CANALES",           3,
,"05047 CANDELEDA",          25,
,"05049 CARDEÑOSA",           3,
,"05056 CASTELLANOS DE ZAPARDIEL",           2,
,"05057 CEBREROS",          15,
,"05059 CILLAN",           2,
,"05060 CISLA",           1,
,"05061 COLILLA (LA)",          10,
,"05065 CRESPOS",          11,
,"05066 CUEVAS DEL VALLE",           5,
,"05067 CHAMARTIN",           1,
,"05074 FONTIVEROS",          16,
,"05075 FRESNEDILLA",           2,
,"05076 FRESNO (EL)",           1,
,"05077 FUENTE EL SAUZ",           2,
,"05086 GIMIALCON",           1,
,"05087 GOTARRENDURA",           1,
,"05089 GUISANDO",           1,
,"05092 HERNANSANCHO",          12,
,"05095 HIGUERA DE LAS DUEÑAS",           2,
,"05099 HORCAJO DE LAS TORRES",           1,
,"05100 HORNILLO (EL)",           2,
,"05101 HOYOCASERO",           2,
,"05102 HOYO DE PINARES (EL)",           4,
,"05110 LANZAHITA",           5,
,"05114 MADRIGAL DE LAS ALTAS TORRES",           5,
,"05115 MAELLO",           4,
,"05117 MAMBLAS",           3,
,"05121 MARTIHERRERO",           3,
,"05122 MARTINEZ",           2,
,"05124 MEDINILLA",           1,
,"05128 MINGORRIA",           4,
,"05132 MOMBELTRAN",           2,
,"05134 MORALEJA DE MATACABRAS",           1,
,"05135 MUÑANA",           6,
,"05139 MUÑOGRANDE",           1,
,"05140 MUÑOMER DEL PECO",           3,
,"05141 MUÑOPEPE",           1,
,"05143 MUÑOTELLO",           2,
,"05149 NARROS DE SALDUEÑA",           1,
,"05152 NAVA DE AREVALO",          14,
,"05153 NAVA DEL BARCO",           1,
,"05157 NAVALACRUZ",           1,
,"05158 NAVALMORAL",          97,
,"05160 NAVALOSA",           1,
,"05161 NAVALPERAL DE PINARES",           1,
,"05163 NAVALUENGA",          13,
,"05165 NAVARREDONDA DE GREDOS",           2,
,"05168 NAVAS DEL MARQUES (LAS)",          52,
,"05172 NIHARRA",           3,
,"05175 OSO (EL)",           1,
,"05176 PADIERNOS",           5,
,"05177 PAJARES DE ADAJA",           1,
,"05178 PALACIOS DE GODA",           4,
,"05179 PAPATRIGO",           4,
,"05182 PEDRO BERNARDO",           2,
,"05183 PEDRO-RODRIGUEZ",           2,
,"05186 PIEDRAHITA",           7,
,"05187 PIEDRALAVES",           3,
,"05193 RASUEROS",           2,
,"05194 RIOCABADO",           1,
,"05195 RIOFRIO",           2,
,"05196 RIVILLA DE BARAJAS",           3,
,"05198 SALVADIOS",           1,
,"05201 SAN BARTOLOME DE PINARES",           1,
,"05204 SANCHIDRIAN",          22,
,"05212 SAN JUAN DEL MOLINILLO",           2,
,"05214 SAN LORENZO DE TORMES",           1,
,"05216 SAN MARTIN DEL PIMPOLLAR",           1,
,"05218 SAN MIGUEL DE SERREZUELA",           2,
,"05222 SANTA CRUZ DE PINARES",           1,
,"05224 SANTA MARIA DEL ARROYO",           1,
,"05231 SAN VICENTE DE AREVALO",           6,
,"05235 SINLABAJOS",           2,
,"05238 SOLOSANCHO",          11,
,"05240 SOTILLO DE LA ADRADA",           5,
,"05241 TIEMBLO (EL)",          27,
,"05242 TIÑOSILLOS",          36,
,"05245 TORNADIZOS DE AVILA",          14,
,"05254 VELAYOS",          10,
,"05256 VILLAFLOR",           2,
,"05257 VILLAFRANCA DE LA SIERRA",           3,
,"05258 VILLANUEVA DE GOMEZ",           3,
,"05259 VILLANUEVA DEL ACERAL",           3,
,"05266 ZAPARDIEL DE LA CAÑADA",           1,
,"05902 SANTA MARIA DEL CUBILLO",          37,
,"09000 SIN ESPECIFICAR/BURGOS",           1,
,"09003 ADRADA DE HAZA",          20,
,"09009 ALBILLOS",           4,
,"09014 ALTOS (LOS)",          20,
,"09018 ARANDA DE DUERO",         648,
,"09019 ARANDILLA",           3,
,"09020 ARAUZO DE MIEL",           5,
,"09023 ARCOS",           3,
,"09024 ARENILLAS DE RIOPISUERGA",           3,
,"09030 AUSINES (LOS)",           1,
,"09034 BALBASES (LOS)",           3,
,"09038 BARBADILLO DEL MERCADO",           1,
,"09039 BARBADILLO DEL PEZ",           1,
,"09048 BELORADO",          13,
,"09050 BERBERANA",           1,
,"09054 BOZOO",           1,
,"09056 BRIVIESCA",          87,
,"09058 BUNIEL",           3,
,"09059 BURGOS",         909,
,"09060 BUSTO DE BUREBA",           1,
,"09061 CABAÑES DE ESGUEVA",           9,
,"09063 CAVIA",          26,
,"09064 CALERUEGA",           5,
,"09065 CAMPILLO DE ARANDA",           6,
,"09067 CANICOSA DE LA SIERRA",          11,
,"09070 CARAZO",           2,
,"09073 CARDEÑADIJO",           4,
,"09074 CARDEÑAJIMENO",           6,
,"09075 CARDEÑUELA RIOPICO",           2,
,"09078 CASCAJARES DE LA SIERRA",           3,
,"09079 CASTELLANOS DE CASTRO",           2,
,"09085 CASTRILLO DE LA VEGA",          10,
,"09086 CASTRILLO DEL VAL",           2,
,"09091 CASTROJERIZ",          13,
,"09093 CAYUELA",           1,
,"09095 CELADA DEL CAMINO",           1,
,"09098 CEREZO DE RIO TIRON",          36,
,"09100 CERRATON DE JUARROS",           1,
,"09101 CIADONCHA",           5,
,"09108 COGOLLOS",           4,
,"09109 CONDADO DE TREVIÑO",          13,
,"09112 CORUÑA DEL CONDE",           2,
,"09114 CUBILLO DEL CAMPO",          14,
,"09115 CUBO DE BUREBA",           1,
,"09123 ESPINOSA DEL CAMINO",           1,
,"09124 ESPINOSA DE LOS MONTEROS",          12,
,"09125 ESTEPAR",           5,
,"09127 FONTIOSO",           2,
,"09131 FRESNILLO DE LAS DUEÑAS",          11,
,"09132 FRESNO DE RIO TIRON",           1,
,"09134 FRIAS",           1,
,"09135 FUENTEBUREBA",           1,
,"09136 FUENTECEN",          12,
,"09139 FUENTEMOLINOS",           1,
,"09140 FUENTENEBRO",           2,
,"09141 FUENTESPINA",          25,
,"09144 GALLEGA (LA)",           1,
,"09148 GRIJALBA",           1,
,"09151 GUMIEL DE IZAN",           3,
,"09152 GUMIEL DE MERCADO",           1,
,"09159 HONTANAS",           1,
,"09162 HONTORIA DE LA CANTERA",           1,
,"09163 HONTORIA DEL PINAR",          10,
,"09168 HORRA (LA)",           1,
,"09174 HUERTA DE REY",          57,
,"09175 HUMADA",           1,
,"09176 HURONES",           3,
,"09177 IBEAS DE JUARROS",           7,
,"09180 IGLESIAS",           2,
,"09194 LERMA",          27,
,"09196 MADRIGAL DEL MONTE",           2,
,"09197 MADRIGALEJO DEL MONTE",           6,
,"09198 MAHAMUD",           1,
,"09199 MAMBRILLA DE CASTREJON",           1,
,"09202 MANCILES",           8,
,"09209 MEDINA DE POMAR",          41,
,"09211 MELGAR DE FERNAMENTAL",          37,
,"09213 MERINDAD DE CUESTA-URRIA",           5,
,"09214 MERINDAD DE MONTIJA",           2,
,"09216 MERINDAD DE VALDEPORRES",           5,
,"09217 MERINDAD DE VALDIVIELSO",           1,
,"09218 MILAGROS",           7,
,"09219 MIRANDA DE EBRO",         201,
,"09224 MONASTERIO DE RODILLA",           4,
,"09227 MONTORIO",           6,
,"09228 MORADILLO DE ROA",           2,
,"09229 NAVA DE ROA",           5,
,"09231 NEBREDA",           3,
,"09235 OLMEDILLO DE ROA",           1,
,"09236 OLMILLOS DE MUÑO",           3,
,"09242 PADILLA DE ABAJO",           3,
,"09243 PADILLA DE ARRIBA",           2,
,"09246 PALACIOS DE LA SIERRA",          18,
,"09251 PANCORBO",           2,
,"09256 PEDROSA DE DUERO",           1,
,"09257 PEDROSA DEL PARAMO",           2,
,"09258 PEDROSA DEL PRINCIPE",           1,
,"09259 PEDROSA DE RIO URBEL",           1,
,"09261 PEÑARANDA DE DUERO",           2,
,"09262 PERAL DE ARLANZA",           4,
,"09268 PINILLA DE LOS BARRUECOS",           3,
,"09272 POZA DE LA SAL",           1,
,"09273 PRADANOS DE BUREBA",           1,
,"09275 PRESENCIO",           1,
,"09276 PUEBLA DE ARGANZON (LA)",           2,
,"09279 QUEMADA",           1,
,"09281 QUINTANA DEL PIDIO",           1,
,"09287 QUINTANAORTUÑO",           2,
,"09289 QUINTANAR DE LA SIERRA",          49,
,"09292 QUINTANAVIDES",           1,
,"09295 QUINTANILLA DEL COCO",           1,
,"09297 QUINTANILLAS (LAS)",           6,
,"09298 QUINTANILLA SAN GARCIA",           1,
,"09301 QUINTANILLA VIVAR",           7,
,"09308 REDECILLA DEL CAMPO",           1,
,"09309 REGUMIEL DE LA SIERRA",          69,
,"09312 REVILLA Y AHEDO (LA)",           2,
,"09315 REVILLARRUZ",           4,
,"09317 REZMONDO",           1,
,"09321 ROA",           8,
,"09325 ROYUELA DE RIO FRANCO",           6,
,"09326 RUBENA",          11,
,"09329 SALAS DE BUREBA",           1,
,"09330 SALAS DE LOS INFANTES",          31,
,"09335 SAN ADRIAN DE JUARROS",           1,
,"09338 SAN MAMES DE BURGOS",           4,
,"09339 SAN MARTIN DE RUBIALES",           1,
,"09345 SANTA CRUZ DE LA SALCEDA",           1,
,"09346 SANTA CRUZ DEL VALLE URBION",           1,
,"09347 SANTA GADEA DEL CID",           1,
,"09348 SANTA INES",           1,
,"09350 SANTA MARIA DEL CAMPO",          13,
,"09351 SANTA MARIA DEL INVIERNO",           1,
,"09358 SANTO DOMINGO DE SILOS",           1,
,"09360 SAN VICENTE DEL VALLE",           1,
,"09363 SASAMON",          11,
,"09366 SOLARANA",           1,
,"09369 SOTILLO DE LA RIBERA",           3,
,"09373 SOTRESGUDO",          10,
,"09375 TAMARON",           1,
,"09377 TARDAJOS",           1,
,"09384 TORDOMAR",          11,
,"09386 TORRECILLA DEL MONTE",           2,
,"09390 TORRESANDINO",           3,
,"09391 TORTOLES DE ESGUEVA",           6,
,"09394 TRESPADERNE",           6,
,"09396 TUBILLA DEL LAGO",           1,
,"09398 URBEL DEL CASTILLO",           1,
,"09400 VADOCONDES",           1,
,"09410 VALLE DE MENA",          22,
,"09412 VALLE DE TOBALINA",           1,
,"09413 VALLE DE VALDEBEZANA",          10,
,"09415 VALLE DE VALDELUCIO",           1,
,"09417 VALLEJERA",           1,
,"09419 VALLUERCANES",           2,
,"09421 VID Y BARRIOS (LA)",           2,
,"09424 VILORIA DE RIOJA",           1,
,"09425 VILVIESTRE DEL PINAR",          51,
,"09427 VILLADIEGO",          17,
,"09428 VILLAESCUSA DE ROA",           5,
,"09432 VILLAFRUELA",           4,
,"09433 VILLAGALIJO",           1,
,"09434 VILLAGONZALO PEDERNALES",          96,
,"09437 VILLAHOZ",           1,
,"09438 VILLALBA DE DUERO",          11,
,"09439 VILLALBILLA DE BURGOS",          17,
,"09441 VILLALDEMIRO",           2,
,"09442 VILLALMANZO",           1,
,"09445 VILLAMBISTIA",           1,
,"09447 VILLAMIEL DE LA SIERRA",           1,
,"09448 VILLANGOMEZ",           3,
,"09449 VILLANUEVA DE ARGAÑO",           2,
,"09451 VILLANUEVA DE GUMIEL",           8,
,"09454 VILLANUEVA DE TEBA",           1,
,"09456 VILLAQUIRAN DE LOS INFANTES",           8,
,"09458 VILLARIEZO",          41,
,"09460 VILLASANDINO",           4,
,"09467 VILLAVERDE-MOGINA",           4,
,"09471 VILLAYERNO MORQUILLAS",           1,
,"09473 VILLEGAS",           1,
,"09483 ZAZUAR",           1,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           5,
,"09902 VALLE DE SANTIBAÑEZ",           7,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",          33,
,"09904 VALLE DE LAS NAVAS",          14,
,"09905 VALLE DE SEDANO",           2,
,"09906 MERINDAD DE RIO UBIERNA",          21,
,"09907 ALFOZ DE QUINTANADUEÑAS",          20,
,"09908 VALLE DE LOSA",          10,
,"24002 ALGADEFE",           2,
